Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT	MT	MT	MT	MT
11	a	sp|A2AHG0|LZTS3_MOUSE	A2AHG0	LZTS3_MOUSE	Lzts3	700	6.70	Mus musculus (Mouse) OX=10090	Leucine zipper putative tumor suppressor 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	2K(304.2072), 4K(304.2072), N-term(42.0106)			25785.6024	20169.1118	36640.0396	27543.7421	22216.9161	16743.4813	22970.9341	20982.7319	28504.1197	13134.0839	22280.3149	0.0000	0.0000	0.0000	0.0000	0.0000
12	a	sp|A2AI08|TPRN_MOUSE	A2AI08	TPRN_MOUSE	Tprn	749	8.70	Mus musculus (Mouse) OX=10090	Taperin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	2K(304.2072), 8K(304.2072)			17875.1685	12444.5959	25123.6821	19518.3660	15292.8611	12695.1506	19325.3110	13428.4062	20556.9644	11160.5923	16033.1633	243.0023	0.0000	0.0000	0.0000	0.0000
13	a	sp|A2AJ15|MA1B1_MOUSE	A2AJ15	MA1B1_MOUSE	Man1b1	658	7.00	Mus musculus (Mouse) OX=10090	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	17K(304.2072), 1K(304.2072), 4K(304.2072), 9K(304.2072)			19697.6546	15854.5444	23760.3556	20182.3718	13888.6611	15730.4272	18616.0278	16710.9162	17420.0877	15333.5058	14269.9980	272.0206	279.8451	0.0000	0.0000	0.0000
14	a	sp|A2AJI0|MA7D1_MOUSE	A2AJI0	MA7D1_MOUSE	Map7d1	846	3.10	Mus musculus (Mouse) OX=10090	MAP7 domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	1K(304.2072)			8496.9484	9416.5675	8826.4723	8920.7740	6603.4735	12515.8342	7978.4768	7405.4424	8160.1157	9888.0916	6098.1610	959.3727	1421.3754	740.7870	657.2834	904.1130
15	a	sp|A2AJL3|FGGY_MOUSE	A2AJL3	FGGY_MOUSE	Fggy	552	12.10	Mus musculus (Mouse) OX=10090	FGGY carbohydrate kinase domain-containing protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	379224	379224	379224	6K(304.2072)			35011.1000	19140.5411	43394.8585	32501.8596	33683.7974	23023.3922	35424.4913	24110.0392	31615.9438	19064.3295	28956.5945	0.0000	0.0000	0.0000	0.0000	0.0000
16	a	sp|A2AKK5|ACNT1_MOUSE	A2AKK5	ACNT1_MOUSE	Acnat1	416	23.80	Mus musculus (Mouse) OX=10090	Acyl-coenzyme A amino acid N-acyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	10	6	10	1872440	     0	1872440	12K(304.2072), 19C(57.0215), 1K(304.2072), 2K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			176098.8795	71916.3891	211573.4316	128654.0146	95177.7136	63308.6317	175263.9994	76638.0847	149205.3706	51114.4510	152336.0886	341.7575	0.0000	0.0000	0.0000	0.0000
17	a	sp|A2ALU4|SHRM2_MOUSE	A2ALU4	SHRM2_MOUSE	Shroom2	1481	3.50	Mus musculus (Mouse) OX=10090	Protein Shroom2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	 90400	 90400	 90400	12K(304.2072), 15K(304.2072), 16K(304.2072), 3K(304.2072)			32028.1631	23618.9580	40932.8181	28565.0549	25235.6870	24546.3574	32777.2344	22916.7380	34847.3481	20359.1775	25770.2201	233.9707	326.2484	0.0000	0.0000	0.0000
18	a	sp|A2AN08|UBR4_MOUSE	A2AN08	UBR4_MOUSE	Ubr4	5180	6.70	Mus musculus (Mouse) OX=10090	E3 ubiquitin-protein ligase UBR4 	1:Experimental evidence at protein level	1.0000	0.9990	28	28	28	33	33	33	1799150	1799150	1799150	11K(304.2072), 13K(304.2072), 1K(304.2072), 2K(304.2072), 3K(304.2072), 4K(304.2072), 5K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072), N-term(304.2072)			201787.7960	148277.9360	255659.0018	201441.0356	169722.9472	153802.5012	193761.7592	152902.7921	204752.7539	134262.8328	157623.9117	2590.0143	433.2292	0.0000	0.0000	0.0000
19	a	sp|A2APT9|KLD7A_MOUSE	A2APT9	KLD7A_MOUSE	Klhdc7a	773	7.20	Mus musculus (Mouse) OX=10090	Kelch domain-containing protein 7A 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	1K(304.2072), 3C(57.0215), 4K(304.2072), 7K(304.2072)			92657.1124	59266.5539	124538.3981	78047.0867	89605.3406	51097.7620	91885.1287	77356.3757	91773.2548	44614.2356	86439.8892	0.0000	0.0000	0.0000	0.0000	0.0000
20	a	sp|A2APV2|FMNL2_MOUSE	A2APV2	FMNL2_MOUSE	Fmnl2	1086	2.90	Mus musculus (Mouse) OX=10090	Formin-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	4	2	2	     0	     0	     0	2K(304.2072), 3K(304.2072), 6K(304.2072)			5964.6021	8070.3674	9453.4639	7207.4246	5973.3062	7274.7354	5997.7583	5645.1750	8771.6833	6021.4636	5600.9088	0.0000	0.0000	0.0000	0.0000	0.0000
21	a	sp|A2APY7|NDUF5_MOUSE	A2APY7	NDUF5_MOUSE	Ndufaf5	343	9.30	Mus musculus (Mouse) OX=10090	Arginine-hydroxylase NDUFAF5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	10C(57.0215), 1K(304.2072), 3K(304.2072)			23988.5919	13323.2160	28894.3441	17829.6836	19836.3296	12027.3903	20150.5921	15032.9305	23533.5718	9390.3174	18281.1259	0.0000	0.0000	0.0000	0.0000	0.0000
22	a	sp|A2ARV4|LRP2_MOUSE	A2ARV4	LRP2_MOUSE	Lrp2	4660	30.00	Mus musculus (Mouse) OX=10090	Low-density lipoprotein receptor-related protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	130	130	130	432	432	432	34379714	34379714	34379714	10K(304.2072), 11C(57.0215), 11K(304.2072), 12K(304.2072), 13C(57.0215), 13K(304.2072), 14C(57.0215), 15C(57.0215), 15K(304.2072), 16C(57.0215), 16K(304.2072), 17C(57.0215), 17K(304.2072), 18C(57.0215), 18K(304.2072), 19C(57.0215), 1C(57.0215), 1C(57.0215), 1K(304.2072), 20K(304.2072), 21K(304.2072), 24K(304.2072), 25C(57.0215), 25K(304.2072), 26K(304.2072), 28C(57.0215), 28K(304.2072), 29C(57.0215), 29K(304.2072), 2C(57.0215), 2K(304.2072), 30C(57.0215), 30K(304.2072), 31C(57.0215), 3C(57.0215), 3K(304.2072), 4C(57.0215), 4K(304.2072), 5C(57.0215), 5K(304.2072), 6C(57.0215), 6K(304.2072), 7C(57.0215), 7K(304.2072), 8C(57.0215), 8K(304.2072), 9C(57.0215), 9K(304.2072), N-term(304.2072)			3554587.1621	2053938.9351	4439373.6646	3336329.5043	3462050.2799	1577143.9009	3527496.4433	2643543.6032	3300823.1555	1469109.3133	3062891.4756	17210.7739	18796.3259	0.0000	0.0000	353.2172
23	a	sp|A2ASQ1|AGRIN_MOUSE	A2ASQ1	AGRIN_MOUSE	Agrn	1950	15.50	Mus musculus (Mouse) OX=10090	Agrin 	1:Experimental evidence at protein level	1.0000	0.9990	19	19	19	35	35	35	32337472	32337472	32337472	10C(57.0215), 11C(57.0215), 12C(57.0215), 12K(304.2072), 13C(57.0215), 16K(304.2072), 17C(57.0215), 17K(304.2072), 19K(304.2072), 1C(57.0215), 1K(304.2072), 23C(57.0215), 3C(57.0215), 4C(57.0215), 4K(304.2072), 5C(57.0215), 5K(304.2072), 6K(304.2072), 7C(57.0215), 7K(304.2072), 9K(304.2072), N-term(304.2072)			258514.9117	322225.4160	321589.1674	361499.7707	267422.2414	342097.2381	276278.0970	282670.2932	297392.7406	276837.6466	248045.0544	6799.7901	2322.5002	0.0000	0.0000	0.0000
24	a	sp|A2AT37|RENT2_MOUSE	A2AT37	RENT2_MOUSE	Upf2	1269	4.60	Mus musculus (Mouse) OX=10090	Regulator of nonsense transcripts 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	15K(304.2072), 2K(304.2072), 5K(304.2072)			21125.7058	18997.3721	28928.1597	23048.1633	18472.5842	21028.8999	19474.2739	19766.3423	21735.0734	16051.3900	17918.2087	676.1993	283.1201	0.0000	0.0000	0.0000
25	a	sp|A2ATU0|DHTK1_MOUSE	A2ATU0	DHTK1_MOUSE	Dhtkd1	921	14.90	Mus musculus (Mouse) OX=10090	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	13	13	13	1447056	1447056	1447056	18K(304.2072), 1K(304.2072), 20K(304.2072), 21K(304.2072), 28K(304.2072), 3K(304.2072), 5C(57.0215), 5K(304.2072), 6K(304.2072), 7C(57.0215), 7K(304.2072)			191482.6141	103781.9766	209765.5985	124276.0510	214899.5602	70891.3473	222897.2550	142011.2072	236892.1052	69151.9972	218361.5391	1437.9894	3422.2136	0.0000	0.0000	0.0000
26	a	sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	1064	5.50	Mus musculus (Mouse) OX=10090	Rab GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	10K(304.2072), 13C(57.0215), 14K(304.2072), 16K(304.2072), 3K(304.2072), 5K(304.2072), 9K(304.2072)			68765.4453	52953.9099	86104.2710	66281.2388	59342.7327	58772.3945	63876.5876	55509.8022	71077.4434	51260.0132	58745.2954	1050.9150	684.8648	0.0000	0.0000	0.0000
27	a	sp|A2BDX3|MOCS3_MOUSE	A2BDX3	MOCS3_MOUSE	Mocs3	460	12.20	Mus musculus (Mouse) OX=10090	Adenylyltransferase and sulfurtransferase MOCS3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	3K(304.2072), 6C(57.0215), 6K(304.2072), 7C(57.0215), N-term(304.2072)			19281.4012	14154.8848	24022.9429	18342.3587	15657.8290	14817.3895	16374.7578	13546.2878	17528.9178	12055.0989	15858.2585	0.0000	0.0000	0.0000	0.0000	0.0000
28	a	sp|A2BH40|ARI1A_MOUSE	A2BH40	ARI1A_MOUSE	Arid1a	2283	3.70	Mus musculus (Mouse) OX=10090	AT-rich interactive domain-containing protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	372394	372394	372394	10K(304.2072), 16K(304.2072), 20K(304.2072), 3K(304.2072)			26458.9788	21430.4849	36899.8535	24726.8918	21899.4542	22249.1057	26376.8398	20747.6266	28099.8989	17470.1934	21911.9127	289.2951	393.3945	0.0000	0.0000	0.0000
29	a	sp|A2RSJ4|UH1BL_MOUSE	A2RSJ4	UH1BL_MOUSE	Uhrf1bp1l	1457	6.70	Mus musculus (Mouse) OX=10090	UHRF1-binding protein 1-like 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	411000	411000	411000	13K(304.2072), 19K(304.2072), 1K(304.2072), 2K(304.2072), 5K(304.2072)			22678.8420	17810.7955	33516.0466	22346.1841	21582.1565	19235.6268	23959.7778	20686.2686	25169.3291	15119.7341	18603.6017	0.0000	0.0000	0.0000	0.0000	0.0000
30	a	sp|A2RSX7|TYW5_MOUSE	A2RSX7	TYW5_MOUSE	Tyw5	315	10.80	Mus musculus (Mouse) OX=10090	tRNA wybutosine-synthesizing protein 5 	2:Experimental evidence at transcript level	1.0000	0.9987	3	3	3	3	3	3	     0	     0	     0	3K(304.2072)			1961.6158	1179.9380	2365.5752	2128.4031	1229.2327	1643.2928	1910.3130	1744.6738	1680.7850	1099.6764	1390.6954	0.0000	0.0000	0.0000	0.0000	0.0000
31	a	sp|A3KGB4|TBC8B_MOUSE	A3KGB4	TBC8B_MOUSE	Tbc1d8b	1114	6.40	Mus musculus (Mouse) OX=10090	TBC1 domain family member 8B 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	27K(304.2072), 7K(304.2072)			11519.5499	9931.1736	14368.5439	11052.9797	9741.2158	12267.2565	10626.3538	10681.5272	11271.8342	7883.2190	8880.7441	0.0000	0.0000	0.0000	0.0000	0.0000
32	a	sp|A3KMP2|TTC38_MOUSE	A3KMP2	TTC38_MOUSE	Ttc38	465	16.10	Mus musculus (Mouse) OX=10090	Tetratricopeptide repeat protein 38 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	22	22	22	5070640	5070640	5070640	10K(304.2072), 2C(57.0215), 4K(304.2072)			181700.5073	97141.4817	226080.6353	142014.2064	143023.7088	102524.1349	158896.7263	112612.0276	154778.1728	73422.8397	146059.8483	243.5510	741.7223	0.0000	0.0000	0.0000
33	a	sp|A6H584|CO6A5_MOUSE	A6H584	CO6A5_MOUSE	Col6a5	2640	1.60	Mus musculus (Mouse) OX=10090	Collagen alpha-5(VI) chain 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	106410	106410	106410	1K(304.2072), 9K(304.2072)			6345.1810	5534.5748	8865.0103	7413.5226	7641.2485	5391.5641	8194.6448	4316.6528	8283.7531	4128.1044	6776.5945	0.0000	0.0000	0.0000	0.0000	0.0000
34	a	sp|A6H5Y3|METH_MOUSE	A6H5Y3	METH_MOUSE	Mtr	1253	3.90	Mus musculus (Mouse) OX=10090	Methionine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	361235	361235	361235	11K(304.2072)			14394.5259	13351.6091	19736.9927	15217.0977	13396.6187	16509.1084	14893.6370	13617.5658	16694.8362	11549.2183	11492.4183	0.0000	0.0000	0.0000	0.0000	0.0000
35	a	sp|A6H5Z3|EXC6B_MOUSE	A6H5Z3	EXC6B_MOUSE	Exoc6b	810	4.80	Mus musculus (Mouse) OX=10090	Exocyst complex component 6B 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	2	5	2	2	     0	     0	     0	12K(304.2072), 4K(304.2072)			6734.8069	3921.0337	8553.6997	6546.4194	5452.6541	4200.4685	6555.8452	5639.1125	7331.8972	3910.3505	4712.6423	0.0000	0.0000	0.0000	0.0000	0.0000
36	a	sp|A6H611|MIPEP_MOUSE	A6H611	MIPEP_MOUSE	Mipep	711	7.30	Mus musculus (Mouse) OX=10090	Mitochondrial intermediate peptidase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	6	6	6	209365	209365	209365	16K(304.2072), 17C(57.0215), 1K(304.2072), 3K(304.2072), 5K(304.2072), 8C(57.0215)			27158.1886	19377.5604	36184.2388	26331.8809	26077.2999	18362.1985	25543.8959	19281.3275	24076.6133	19036.8218	21580.6465	537.3490	315.5622	0.0000	0.0000	0.0000
37	a	sp|A6H630|ARMT1_MOUSE	A6H630	ARMT1_MOUSE	Armt1	439	10.00	Mus musculus (Mouse) OX=10090	Damage-control phosphatase ARMT1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	3K(304.2072), 4C(57.0215), 7K(304.2072)			9107.6289	7637.7053	11418.6448	8798.3906	6618.7209	7744.7722	8727.0938	7130.0717	9052.7769	5943.7119	6884.4524	0.0000	0.0000	0.0000	0.0000	0.0000
38	a	sp|A6H6A9|RBG1L_MOUSE	A6H6A9	RBG1L_MOUSE	Rabgap1l	815	7.70	Mus musculus (Mouse) OX=10090	Rab GTPase-activating protein 1-like 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	10C(57.0215), 19K(304.2072), 24K(304.2072), 26K(304.2072), 5K(304.2072)			37794.0068	25569.0996	50476.0508	33194.0601	32091.0820	27064.8613	35443.5391	27993.9741	39269.4346	20996.8242	31984.3682	671.6758	892.7583	0.0000	0.0000	0.0000
39	a	sp|A6H8H2|DEN4C_MOUSE	A6H8H2	DEN4C_MOUSE	Dennd4c	1906	3.70	Mus musculus (Mouse) OX=10090	DENN domain-containing protein 4C 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	11K(304.2072), 16K(304.2072), 17K(304.2072), 4K(304.2072), 7K(304.2072)			47231.6136	32225.0576	55790.3127	45152.6140	35267.1870	44598.8053	40889.8620	34039.6809	46232.3137	32118.1367	35654.0088	607.7993	515.3490	0.0000	0.0000	0.0000
40	a	sp|A6X935|ITIH4_MOUSE	A6X935	ITIH4_MOUSE	Itih4	942	9.60	Mus musculus (Mouse) OX=10090	Inter alpha-trypsin inhibitor, heavy chain 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	24	24	24	3830054	3830054	3830054	10K(304.2072), 14K(304.2072), 2K(304.2072), 3K(304.2072), 8K(304.2072)			83941.6796	110766.6060	111911.2781	87485.3459	79534.1964	219768.9522	75314.9670	116006.6031	117346.7496	242718.7034	58947.6249	3492.5639	0.0000	0.0000	0.0000	0.0000
41	a	sp|B1AR13|CISD3_MOUSE	B1AR13	CISD3_MOUSE	Cisd3	137	30.70	Mus musculus (Mouse) OX=10090	CDGSH iron-sulfur domain-containing protein 3, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	 39044	 39044	 39044	14K(304.2072), 4K(304.2072), 7K(304.2072), 8K(304.2072), 9K(304.2072)			231687.1099	104427.6423	262730.9648	176934.0474	191208.5688	60754.0220	215099.6191	120531.9658	217049.0308	62240.0476	170846.2935	619.1779	512.0975	0.0000	0.0000	0.0000
42	a	sp|B1AVD1|XPP2_MOUSE	B1AVD1	XPP2_MOUSE	Xpnpep2	674	6.80	Mus musculus (Mouse) OX=10090	Xaa-Pro aminopeptidase 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	12K(304.2072), N-term(304.2072)			9871.7018	6337.4747	12496.4956	9302.5350	7684.9217	7443.2032	10906.9210	6459.2274	10835.2091	5355.0753	8584.8882	0.0000	0.0000	0.0000	0.0000	0.0000
43	a	sp|B1AVY7|KI16B_MOUSE	B1AVY7	KI16B_MOUSE	Kif16b	1312	6.90	Mus musculus (Mouse) OX=10090	Kinesin-like protein KIF16B 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	11K(304.2072), 13K(304.2072), 17K(304.2072), 1K(304.2072), 20K(304.2072), 2K(304.2072), 6K(304.2072), 7K(304.2072)			53960.9722	37859.5542	73023.7852	47042.5530	53745.8322	38604.0977	52231.9075	43928.2849	62093.4470	34006.2349	51396.8203	856.0446	1227.4178	0.0000	0.0000	0.0000
44	a	sp|B1AXH1|NHSL2_MOUSE	B1AXH1	NHSL2_MOUSE	Nhsl2	1219	8.00	Mus musculus (Mouse) OX=10090	NHS-like protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10K(304.2072), 11K(304.2072), 14K(304.2072), 1K(304.2072), 21K(304.2072), 3K(304.2072), 5K(304.2072), 6K(304.2072), 9K(304.2072), N-term(304.2072)			41547.7725	23732.9728	57585.6465	38027.1202	36136.1476	20857.8170	41832.6677	29431.3698	43087.5410	20595.3833	32735.5964	640.2895	390.3376	0.0000	0.0000	0.0000
45	a	sp|B2RQC6|PYR1_MOUSE	B2RQC6	PYR1_MOUSE	Cad	2225	2.80	Mus musculus (Mouse) OX=10090	CAD protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	12K(304.2072), 14C(57.0215), 5K(304.2072)			26644.0095	23742.7782	35139.6678	30850.2498	23339.9417	25574.2894	26805.1669	23733.9688	29317.2892	23100.6144	19732.8643	438.9594	248.9670	0.0000	0.0000	0.0000
46	a	sp|B2RR83|YTDC2_MOUSE	B2RR83	YTDC2_MOUSE	Ythdc2	1445	5.70	Mus musculus (Mouse) OX=10090	3'-5' RNA helicase YTHDC2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	 81084	 81084	 81084	11K(304.2072), 4K(304.2072), 6K(304.2072), 7K(304.2072), 8K(304.2072)			45681.7559	36532.4653	60538.0691	49446.6300	41958.9967	39526.2921	47932.8914	37221.9293	51638.3588	28020.5903	37852.0303	435.1768	0.0000	0.0000	0.0000	0.0000
47	a	sp|B2RRE7|OTUD4_MOUSE	B2RRE7	OTUD4_MOUSE	Otud4	1107	9.30	Mus musculus (Mouse) OX=10090	OTU domain-containing protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	10K(304.2072), 11K(304.2072), 15K(304.2072), 16K(304.2072), 1K(304.2072), 3K(304.2072), 4K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072)			30605.7554	28647.9624	41226.5630	34560.7109	26444.7666	31190.8464	29850.1836	28969.2197	32222.3698	25512.7732	27500.3210	245.6145	431.8934	0.0000	0.0000	0.0000
